"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","02","Outbound","01","Holiday","Thousand","897"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","02","Outbound","02","Business","Thousand","157"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","02","Outbound","03","Visiting friends/relatives","Thousand","193"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","02","Outbound","08","Other reasons","Thousand","84"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","01","Domestic","-","All reasons for journey","Thousand","2087"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","01","Domestic","01","Holiday","Thousand","1199"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","01","Domestic","02","Business","Thousand","140"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","01","Domestic","03","Visiting friends/relatives","Thousand","516"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","01","Domestic","08","Other reasons","Thousand","233"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","02","Outbound","-","All reasons for journey","Thousand","1595"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","02","Outbound","01","Holiday","Thousand","1142"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","02","Outbound","02","Business","Thousand","159"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","02","Outbound","03","Visiting friends/relatives","Thousand","220"
"HTQ01C1","Number of Trips by Irish Residents","2003Q3","2003Q3","02","Outbound","08","Other reasons","Thousand","74"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","01","Domestic","-","All reasons for journey","Thousand","1614"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","01","Domestic","01","Holiday","Thousand","541"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","01","Domestic","02","Business","Thousand","176"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","01","Domestic","03","Visiting friends/relatives","Thousand","709"
"HTQ01C1","Number of Trips by Irish Residents","2003Q4","2003Q4","01","Domestic","08","Other reasons","Thousand","188"
